id	title	cover_url	author	rating	date_published	publisher	language	pages	description	published_in	series	genre	isbn10	isbn13	goodreads_url	download_pdf_url	download_epub_url	download_text_url	download_mobi_url	download_daisy_url	worldcat_rent_url	betterworldbooks_url	amazon_url	bookshop_url	download_mp3_url	subjects_people	subjects_places
OL1000227M	The hunchback of Notre Dame	https://covers.openlibrary.org/b/id/551688-L.jpg	Jimmy Symonds,Victor Hugo	N/A	1996	DK Pub.	English	N/A	N/A	New York	Eyewitness classics	N/A	0789414910	N/A	https://www.goodreads.com/book/show/1079606	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/isbn/9780789414915	https://www.betterworldbooks.com/product/detail/-9780789414915	https://www.amazon.com/dp/0789414910/?tag=internetarchi-20	https://bookshop.org/a/3112/9780789414915	N/A	N/A	France,Paris (France)
OL1004587M	Liar, liar, pants on fire	https://covers.openlibrary.org/b/id/1289428-L.jpg	Gordon Korman	N/A	1997	Scholastic Press	English	N/A	N/A	New York	N/A	N/A	0590271423	N/A	https://www.goodreads.com/book/show/2924094	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/35694513	https://www.betterworldbooks.com/product/detail/-9780590271424	https://www.amazon.com/dp/0590271423/?tag=internetarchi-20	https://bookshop.org/a/3112/9780590271424	N/A	N/A	N/A
OL1005057M	Vocabulary in use	https://covers.openlibrary.org/b/id/347175-L.jpg	McCarthy, Michael	N/A	1997	Cambridge University Press	English	N/A	N/A	Cambridge, New York, NY, USA	N/A	N/A	0521577683, 0521577004	N/A	https://www.goodreads.com/book/show/882276	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/isbn/9780521577687	https://www.betterworldbooks.com/product/detail/-9780521577687	https://www.amazon.com/dp/0521577683/?tag=internetarchi-20	https://bookshop.org/a/3112/9780521577687	N/A	N/A	N/A
OL10078722M	Study Guide	https://covers.openlibrary.org/b/id/12772751-L.jpg	Ellen G. Cohn	N/A	July 18, 2000	Prentice-Hall	English	N/A	N/A	N/A	N/A	N/A	0130842133	9780130842138	N/A	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/191685382	https://www.betterworldbooks.com/product/detail/-9780130842138	https://www.amazon.com/dp/0130842133/?tag=internetarchi-20	https://bookshop.org/a/3112/9780130842138	N/A	N/A	N/A
OL10080210M	Racial Profiling in America	https://covers.openlibrary.org/b/id/2322037-L.jpg	Alejandro Del Carmen	N/A	October 6, 2007	Prentice Hall	English	N/A	N/A	N/A	N/A	N/A	0131146947	9780131146945	https://www.goodreads.com/book/show/4407796	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/144598133	https://www.betterworldbooks.com/product/detail/-9780131146945	https://www.amazon.com/dp/0131146947/?tag=internetarchi-20	https://bookshop.org/a/3112/9780131146945	N/A	N/A	N/A
OL1009909M	History of art	https://covers.openlibrary.org/b/id/596450-L.jpg	H. W. Janson,H.W Janson,H. W Janson,Horst Woldemar JANSON,Anthony F. Janson	4.4 (5 ratings)	1997	Harry N. Abrams	English	N/A	N/A	New York	N/A	N/A	0810934426	N/A	https://www.goodreads.com/book/show/1908531	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/36008559	https://www.betterworldbooks.com/product/detail/-9780810934429	https://www.amazon.com/dp/0810934426/?tag=internetarchi-20	https://bookshop.org/a/3112/9780810934429	N/A	N/A	N/A
OL10100594M	William Wilberforce	https://covers.openlibrary.org/b/id/2325374-L.jpg	William Hague	N/A	June 16, 2008	Harcourt	English	N/A	N/A	N/A	N/A	N/A	0151012679	9780151012671	https://www.goodreads.com/book/show/3071114	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/180852144	https://www.betterworldbooks.com/product/detail/-9780151012671	https://www.amazon.com/dp/0151012679/?tag=internetarchi-20	https://bookshop.org/a/3112/9780151012671	N/A	N/A	N/A
OL10100624M	The Stone Gods	https://covers.openlibrary.org/b/id/2325403-L.jpg	Jeanette Winterson	3.3 (3 ratings)	April 1, 2008	Harcourt	English	N/A	N/A	N/A	N/A	N/A	0151014914	9780151014910	https://www.goodreads.com/book/show/2232580	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/180751958	https://www.betterworldbooks.com/product/detail/-9780151014910	https://www.amazon.com/dp/0151014914/?tag=internetarchi-20	https://bookshop.org/a/3112/9780151014910	N/A	N/A	N/A
OL101900M	Does the sun rise over Dagenham?	https://covers.openlibrary.org/b/id/2055985-L.jpg	Nicola Barker,Mark Lawson	N/A	1998	Fourth Estate	English	N/A	N/A	London	N/A	Fiction.	1857026004	N/A	https://www.goodreads.com/book/show/272490	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/39140505	https://www.betterworldbooks.com/product/detail/-9781857026009	https://www.amazon.com/dp/1857026004/?tag=internetarchi-20	https://bookshop.org/a/3112/9781857026009	N/A	N/A	England,London,London (England)
OL10193182M	Judging Social Issues (Monographs of the Society for Research in Child Development)	https://covers.openlibrary.org/b/id/12867566-L.jpg	Elliot Turiel,Carolyn Hildebrandt,Cecilia Wainryb	N/A	January 1992	University Of Chicago Press	English	N/A	N/A	N/A	N/A	N/A	0226816753	9780226816753	https://www.goodreads.com/book/show/4135681	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/24927077	https://www.betterworldbooks.com/product/detail/-9780226816753	https://www.amazon.com/dp/0226816753/?tag=internetarchi-20	https://bookshop.org/a/3112/9780226816753	N/A	N/A	N/A
OL1022120M	The hunchback of Notre Dame	https://covers.openlibrary.org/b/id/1340474-L.jpg	Robin Moore	N/A	1996	Aladdin Paperbacks	English	N/A	N/A	New York	N/A	N/A	068981027X	N/A	https://www.goodreads.com/book/show/2934395	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/36556050	https://www.betterworldbooks.com/product/detail/-9780689810275	https://www.amazon.com/dp/068981027X/?tag=internetarchi-20	https://bookshop.org/a/3112/9780689810275	N/A	N/A	France,Paris (France)
OL1026237M	Peace in Ireland	https://covers.openlibrary.org/b/id/3865650-L.jpg	David Bleakley	N/A	1995	Mowbray	English	N/A	N/A	London, New York	N/A	N/A	0264673751	N/A	https://www.goodreads.com/book/show/4228917	N/A	N/A	N/A	N/A	N/A	https://worldcat.org/oclc/32922504	https://www.betterworldbooks.com/product/detail/-9780264673752	https://www.amazon.com/dp/0264673751/?tag=internetarchi-20	https://bookshop.org/a/3112/9780264673752	N/A	N/A	Great Britain,Ireland,Northern Ireland
